,count
2008-01-01 00:30:00,3351
2008-01-01 02:30:00,3276
2008-01-01 04:30:00,3213
2008-01-01 06:30:00,3202
2008-01-01 08:30:00,3246
2008-01-01 10:30:00,3244
2008-01-01 12:30:00,3248
2008-01-01 14:30:00,3258
2008-01-01 16:30:00,3248
2008-01-01 18:30:00,3238
2008-01-01 20:30:00,3385
2008-01-01 22:30:00,3436
2008-01-02 00:30:00,3377
2008-01-02 02:30:00,3307
2008-01-02 04:30:00,3256
2008-01-02 06:30:00,3262
2008-01-02 08:30:00,3246
2008-01-02 10:30:00,3314
2008-01-02 12:30:00,3367
2008-01-02 14:30:00,3387
2008-01-02 16:30:00,3411
2008-01-02 18:30:00,3378
2008-01-02 20:30:00,3404
2008-01-02 22:30:00,3465
2008-01-03 00:30:00,3422
2008-01-03 02:30:00,3361
2008-01-03 04:30:00,3318
2008-01-03 06:30:00,3333
2008-01-03 08:30:00,3381
2008-01-03 10:30:00,3434
2008-01-03 12:30:00,3459
2008-01-03 14:30:00,3471
2008-01-03 16:30:00,3518
2008-01-03 18:30:00,3509
2008-01-03 20:30:00,3499
2008-01-03 22:30:00,3489
2008-01-04 00:30:00,3467
2008-01-04 02:30:00,3388
2008-01-04 04:30:00,3313
2008-01-04 06:30:00,3346
2008-01-04 08:30:00,3427
2008-01-04 10:30:00,3485
2008-01-04 12:30:00,3514
2008-01-04 14:30:00,3523
2008-01-04 16:30:00,3518
2008-01-04 18:30:00,3486
2008-01-04 20:30:00,3453
2008-01-04 22:30:00,3471
2008-01-05 00:30:00,3457
2008-01-05 02:30:00,3416
2008-01-05 04:30:00,3361
2008-01-05 06:30:00,3321
2008-01-05 08:30:00,3395
2008-01-05 10:30:00,3476
2008-01-05 12:30:00,3533
2008-01-05 14:30:00,3528
2008-01-05 16:30:00,3513
2008-01-05 18:30:00,3483
2008-01-05 20:30:00,3462
2008-01-05 22:30:00,3460
2008-01-06 00:30:00,3471
2008-01-06 02:30:00,3401
2008-01-06 04:30:00,3314
2008-01-06 06:30:00,3290
2008-01-06 08:30:00,3341
2008-01-06 10:30:00,3395
2008-01-06 12:30:00,3464
2008-01-06 14:30:00,3506
2008-01-06 16:30:00,3506
2008-01-06 18:30:00,3471
2008-01-06 20:30:00,3449
2008-01-06 22:30:00,3399
2008-01-07 00:30:00,3423
2008-01-07 02:30:00,3418
2008-01-07 04:30:00,3332
2008-01-07 06:30:00,3284
2008-01-07 08:30:00,3351
2008-01-07 10:30:00,3387
2008-01-07 12:30:00,3444
2008-01-07 14:30:00,3449
2008-01-07 16:30:00,3460
2008-01-07 18:30:00,3438
2008-01-07 20:30:00,3385
2008-01-07 22:30:00,3342
2008-01-08 00:30:00,3330
2008-01-08 02:30:00,3414
2008-01-08 04:30:00,3397
2008-01-08 06:30:00,3351
2008-01-08 08:30:00,3383
2008-01-08 10:30:00,3412
2008-01-08 12:30:00,3411
2008-01-08 14:30:00,3446
2008-01-08 16:30:00,3517
2008-01-08 18:30:00,3524
2008-01-08 20:30:00,3504
