,Iona,NSoG,CSoG,SSoG,JdF
2015-08-06 00:00:00,0.072106205,0.24815989,0.08098671,0.27816525,0.3856141
2015-08-06 01:00:00,0.02889518,0.19898216,0.046038836,0.4456669,0.40076026
2015-08-06 02:00:00,0.02985716,0.1404606,0.010222209,0.86163324,0.11329316
2015-08-06 03:00:00,0.042189624,0.07012388,0.010206293,1.1455802,0.22004376
2015-08-06 04:00:00,0.03822012,0.05499814,0.031915095,1.1182023,0.325937
2015-08-06 05:00:00,0.031156635,0.12671208,0.0488968,0.8453113,0.2894047
2015-08-06 06:00:00,0.014893469,0.33353806,0.05986387,0.44296977,0.23997356
2015-08-06 07:00:00,0.0282559,0.425114,0.052300166,0.40728435,0.13466297
2015-08-06 08:00:00,0.049727805,0.1782862,0.016818117,0.6106702,0.6735299
2015-08-06 09:00:00,0.059289243,0.18212958,0.025516015,0.8231999,0.7298156
2015-08-06 10:00:00,0.07239089,0.21682534,0.08776183,0.7184404,1.0544934
2015-08-06 11:00:00,0.034446876,0.30432183,0.14863186,0.56337523,0.3242661
2015-08-06 12:00:00,0.014914389,0.31902686,0.12071972,0.3297023,0.6224889
2015-08-06 13:00:00,0.050536234,0.17250721,0.046373542,0.27841085,0.6195499
2015-08-06 14:00:00,0.09169809,0.087124854,0.021062065,0.3563159,0.2277678
2015-08-06 15:00:00,0.071176685,0.051417395,0.00798559,0.5809227,0.29063404
2015-08-06 16:00:00,0.049485657,0.032423325,0.02059462,0.7428679,0.5869632
2015-08-06 17:00:00,0.081090845,0.10016403,0.02995292,0.5816821,0.29676083
2015-08-06 18:00:00,0.06633694,0.14664766,0.02794449,0.43792447,0.567026
2015-08-06 19:00:00,0.04980074,0.39344728,0.021584688,0.3267484,0.34173173
2015-08-06 20:00:00,0.045615725,0.39526924,0.012104475,0.20674507,0.42976302
2015-08-06 21:00:00,0.034931466,0.1701403,0.016513973,0.22991173,0.28369159
2015-08-06 22:00:00,0.024384558,0.18409298,0.07397945,0.17400478,0.14680882
2015-08-06 23:00:00,0.022708526,0.1920861,0.14088498,0.07383479,0.15786543
2015-08-07 00:00:00,0.020757627,0.26342562,0.12167495,0.123717844,0.078130096
2015-08-07 01:00:00,0.036566444,0.24316502,0.06394785,0.24568439,0.033447318
2015-08-07 02:00:00,0.0458906,0.1527627,0.04413903,0.29676932,0.21280631
2015-08-07 03:00:00,0.10973909,0.06749602,0.023695253,0.45814008,0.097485155
2015-08-07 04:00:00,0.10525957,0.032851834,0.0068552503,0.5944737,0.08041637
2015-08-07 05:00:00,0.05811193,0.04949145,0.018827697,0.46151602,0.17591114
2015-08-07 06:00:00,0.045240916,0.12995516,0.024544194,0.43518716,0.4080574
2015-08-07 07:00:00,0.01959416,0.14613515,0.013166564,0.44410226,0.2360309
2015-08-07 08:00:00,0.0287264,0.20994544,0.02041782,0.56714654,0.21249858
2015-08-07 09:00:00,0.056635637,0.21890607,0.04847143,0.6388702,0.7660248
2015-08-07 10:00:00,0.06186915,0.0781319,0.10551371,0.57193124,1.3698213
2015-08-07 11:00:00,0.056162637,0.09846865,0.15725607,0.41756678,1.026618
2015-08-07 12:00:00,0.025039421,0.18517804,0.15688132,0.31958908,0.2718457
2015-08-07 13:00:00,0.0190729,0.19686328,0.11356598,0.26063904,0.41828817
