,Iona,NSoG,CSoG,SSoG,JdF
2015-08-06 00:00:00,0.002759806,0.2510904,0.034899794,0.33855683,0.053032678
2015-08-06 01:00:00,0.0042215097,0.13787912,0.01459782,0.5013923,0.28913257
2015-08-06 02:00:00,0.013535144,0.056461655,0.0023945952,1.0097437,0.12225891
2015-08-06 03:00:00,0.018158682,0.010122759,0.004650372,1.2147254,0.0739453
2015-08-06 04:00:00,0.022675037,0.015600735,0.0117966635,1.2096993,0.0856778
2015-08-06 05:00:00,0.026181472,0.10118088,0.006584879,0.81155443,0.08628795
2015-08-06 06:00:00,0.016797366,0.19676223,0.0059727007,0.44244465,0.052640166
2015-08-06 07:00:00,0.0028327764,0.41636768,0.008686604,0.4319494,0.21795161
2015-08-06 08:00:00,0.005390682,0.11253486,0.009097265,0.58975184,0.011717356
2015-08-06 09:00:00,0.01025138,0.04599799,0.007832587,0.7027578,0.080720566
2015-08-06 10:00:00,0.016650949,0.22053036,0.020258896,0.49173135,0.060851716
2015-08-06 11:00:00,0.0047828862,0.25303343,0.03740067,0.2938878,0.3339536
2015-08-06 12:00:00,0.0008676479,0.30393502,0.052185543,0.31281328,0.18093336
2015-08-06 13:00:00,0.011098237,0.20761934,0.04577344,0.38563648,0.5453966
2015-08-06 14:00:00,0.0192272,0.06964452,0.023544103,0.32618332,0.23868717
2015-08-06 15:00:00,0.028816527,0.012501523,0.0043966933,0.55591035,0.23109053
2015-08-06 16:00:00,0.021043438,0.0030945227,0.003268608,0.8375476,0.11846395
2015-08-06 17:00:00,0.0155668035,0.044071283,0.005492236,0.6574242,0.2501164
2015-08-06 18:00:00,0.008480415,0.07376995,0.0028191837,0.46328288,0.473591
2015-08-06 19:00:00,0.006969433,0.26424667,0.0018815435,0.29294032,0.1280219
2015-08-06 20:00:00,0.0058333194,0.46943963,0.001815908,0.18761045,0.4661096
2015-08-06 21:00:00,0.0005593667,0.1867133,0.0061116978,0.14351045,0.14607254
2015-08-06 22:00:00,0.00097517285,0.028113948,0.023705073,0.12919152,0.0872606
2015-08-06 23:00:00,0.0017547195,0.18179455,0.03612594,0.06705916,0.06927613
2015-08-07 00:00:00,0.001488632,0.3297059,0.044284277,0.1311926,0.047187522
2015-08-07 01:00:00,0.0020305386,0.2874382,0.041913025,0.24443118,0.07123394
2015-08-07 02:00:00,0.011646784,0.16485758,0.037316177,0.24623396,0.16773634
2015-08-07 03:00:00,0.02338129,0.09488442,0.019305091,0.52715945,0.024270613
2015-08-07 04:00:00,0.022191709,0.058733962,0.010065683,0.6485217,0.0012720856
2015-08-07 05:00:00,0.018024303,0.007848222,0.017125823,0.5007106,0.100230955
2015-08-07 06:00:00,0.00521373,0.114853516,0.017271772,0.4317557,0.2211955
2015-08-07 07:00:00,0.0042859027,0.13310464,0.015605024,0.38486165,0.097685516
2015-08-07 08:00:00,0.012633352,0.1171057,0.005310453,0.6144567,0.052595653
2015-08-07 09:00:00,0.022628793,0.15059131,0.0010693877,0.662089,0.024830759
2015-08-07 10:00:00,0.021689821,0.05692259,0.021536596,0.615333,0.23298955
